coda,nucleus,onset,jyutping,tone
t,aa,d,daat2,2
t,aa,d,daat3,3
t,aa,d,daat4,4
t,aa,d,daat5,5
t,aa,d,daat6,6
k,aa,d,daak1,1
k,aa,d,daak2,2
k,aa,d,daak3,3
k,aa,d,daak4,4
k,aa,d,daak5,5
k,aa,d,daak6,6
m,aa,d,daam1,1
m,aa,d,daam2,2
m,aa,d,daam3,3
m,aa,d,daam4,4
m,aa,d,daam5,5
m,aa,d,daam6,6
n,aa,d,daan1,1
n,aa,d,daan2,2
n,aa,d,daan3,3
n,aa,d,daan4,4
n,aa,d,daan5,5
n,aa,d,daan6,6
ng,aa,d,daang1,1
ng,aa,d,daang2,2
ng,aa,d,daang3,3
ng,aa,d,daang4,4
ng,aa,d,daang5,5
ng,aa,d,daang6,6
i,aa,d,daai1,1
i,aa,d,daai2,2
i,aa,d,daai3,3
i,aa,d,daai4,4
i,aa,d,daai5,5
i,aa,d,daai6,6
u,aa,d,daau1,1
u,aa,d,daau2,2
u,aa,d,daau3,3
u,aa,d,daau4,4
u,aa,d,daau5,5
u,aa,d,daau6,6
,aa,d,daa1,1
,aa,d,daa2,2
,aa,d,daa3,3
,aa,d,daa4,4
,aa,d,daa5,5
,aa,d,daa6,6
p,a,d,dap1,1
p,a,d,dap2,2
p,a,d,dap3,3
p,a,d,dap4,4
p,a,d,dap5,5
p,a,d,dap6,6
t,a,d,dat1,1
t,a,d,dat2,2
t,a,d,dat3,3
t,a,d,dat4,4
t,a,d,dat5,5
t,a,d,dat6,6
k,a,d,dak1,1
k,a,d,dak2,2
k,a,d,dak3,3
k,a,d,dak4,4
k,a,d,dak5,5
k,a,d,dak6,6
m,a,d,dam1,1
m,a,d,dam2,2
m,a,d,dam3,3
m,a,d,dam4,4
m,a,d,dam5,5
m,a,d,dam6,6
n,a,d,dan1,1
n,a,d,dan2,2
n,a,d,dan3,3
n,a,d,dan4,4
n,a,d,dan5,5
n,a,d,dan6,6
ng,a,d,dang1,1
ng,a,d,dang2,2
ng,a,d,dang3,3
ng,a,d,dang4,4
ng,a,d,dang5,5
ng,a,d,dang6,6
i,a,d,dai1,1
i,a,d,dai2,2
i,a,d,dai3,3
i,a,d,dai4,4
i,a,d,dai5,5
i,a,d,dai6,6
u,a,d,dau1,1
u,a,d,dau2,2
u,a,d,dau3,3
u,a,d,dau4,4
u,a,d,dau5,5
u,a,d,dau6,6
,a,d,da1,1
,a,d,da2,2
,a,d,da3,3
,a,d,da4,4
,a,d,da5,5
,a,d,da6,6
p,i,d,dip1,1
p,i,d,dip2,2
p,i,d,dip3,3
p,i,d,dip4,4
p,i,d,dip5,5
p,i,d,dip6,6
t,i,d,dit1,1
t,i,d,dit2,2
t,i,d,dit3,3
t,i,d,dit4,4
t,i,d,dit5,5
t,i,d,dit6,6
k,i,d,dik1,1
k,i,d,dik2,2
k,i,d,dik3,3
k,i,d,dik4,4
k,i,d,dik5,5
k,i,d,dik6,6
m,i,d,dim1,1
m,i,d,dim2,2
m,i,d,dim3,3
m,i,d,dim4,4
m,i,d,dim5,5
m,i,d,dim6,6
n,i,d,din1,1
n,i,d,din2,2
n,i,d,din3,3
n,i,d,din4,4
n,i,d,din5,5
n,i,d,din6,6
ng,i,d,ding1,1
ng,i,d,ding2,2
ng,i,d,ding3,3
ng,i,d,ding4,4
ng,i,d,ding5,5
ng,i,d,ding6,6
i,i,d,dii1,1
i,i,d,dii2,2
i,i,d,dii3,3
i,i,d,dii4,4
i,i,d,dii5,5
i,i,d,dii6,6
u,i,d,diu1,1
u,i,d,diu2,2
u,i,d,diu3,3
u,i,d,diu4,4
u,i,d,diu5,5
u,i,d,diu6,6
,i,d,di1,1
,i,d,di2,2
,i,d,di3,3
,i,d,di4,4
,i,d,di5,5
,i,d,di6,6
p,yu,d,dyup1,1
p,yu,d,dyup2,2
p,yu,d,dyup3,3
p,yu,d,dyup4,4
p,yu,d,dyup5,5
p,yu,d,dyup6,6
t,yu,d,dyut1,1
t,yu,d,dyut2,2
t,yu,d,dyut3,3
t,yu,d,dyut4,4
t,yu,d,dyut5,5
t,yu,d,dyut6,6
k,yu,d,dyuk1,1
k,yu,d,dyuk2,2
k,yu,d,dyuk3,3
k,yu,d,dyuk4,4
k,yu,d,dyuk5,5
k,yu,d,dyuk6,6
m,yu,d,dyum1,1
m,yu,d,dyum2,2
m,yu,d,dyum3,3
m,yu,d,dyum4,4
m,yu,d,dyum5,5
m,yu,d,dyum6,6
n,yu,d,dyun1,1
n,yu,d,dyun2,2
n,yu,d,dyun3,3
n,yu,d,dyun4,4
n,yu,d,dyun5,5
n,yu,d,dyun6,6
ng,yu,d,dyung1,1
ng,yu,d,dyung2,2
ng,yu,d,dyung3,3
ng,yu,d,dyung4,4
ng,yu,d,dyung5,5
ng,yu,d,dyung6,6
i,yu,d,dyui1,1
i,yu,d,dyui2,2
i,yu,d,dyui3,3
i,yu,d,dyui4,4
i,yu,d,dyui5,5
i,yu,d,dyui6,6
u,yu,d,dyuu1,1
u,yu,d,dyuu2,2
u,yu,d,dyuu3,3
u,yu,d,dyuu4,4
u,yu,d,dyuu5,5
u,yu,d,dyuu6,6
,yu,d,dyu1,1
,yu,d,dyu2,2
,yu,d,dyu3,3
,yu,d,dyu4,4
,yu,d,dyu5,5
,yu,d,dyu6,6
